Name	Status	Cases	Cases	Cases	Cases	Cases	Cases	Cases	Cases	Cases
		count	count	count	count	count	count	count	count	incomplete
		28.02.2020	06.03.2020	13.03.2020	20.03.2020	27.03.2020	03.04.2020	10.04.2020	17.04.2020	22.04.2020
Baden-WÅrttemberg	State	17	131	725	4,022	10,169	17,853	23,801	27,49	28,898
Alb-Donau-Kreis	County	0	4	8	39	164	298	412	451	476
Baden-Baden	County-level City	0	0	3	19	43	100	135	159	163
Biberach	County	0	0	5	50	160	258	413	463	485
B?blingen	County	1	3	9	148	458	809	1,103	1,226	1,268
Bodenseekreis	County	0	1	8	70	161	214	252	265	270
Breisgau-Hochschwarzwald	County	2	8	26	145	290	616	831	952	983
Calw	County	0	1	14	92	230	373	477	547	607
Emmendingen	County	0	1	17	101	179	352	451	496	509
Enzkreis	County	0	0	4	22	64	163	259	370	440
Esslingen	County	1	17	70	346	657	1,038	1,312	1,493	1,539
Freiburg im Breisgau	County-level City	1	3	35	163	340	604	817	884	913
Freudenstadt	County	0	0	2	15	126	221	394	469	513
G?ppingen	County	1	3	32	138	296	502	641	704	717
Heidelberg	County-level City	0	2	7	53	118	212	250	262	264
Heidenheim	County	0	0	4	36	115	222	277	371	405
Heilbronn	County	0	15	34	117	315	480	637	713	784
Heilbronn Stadt	County-level City	0	3	4	24	110	235	318	362	387
Hohenlohekreis	County	0	1	22	185	332	516	634	692	713
Karlsruhe	County	1	2	20	125	254	509	704	799	828
Karlsruhe Stadt	County-level City	0	0	9	56	134	201	278	307	317
Konstanz	County	0	0	9	65	121	242	334	379	394
L?rrach	County	0	1	8	59	163	325	428	469	513
Ludwigsburg	County	3	9	38	214	546	948	1,261	1,396	1,451
Main-Tauber-Kreis	County	0	6	31	39	75	179	262	313	322
Mannheim	County-level City	0	5	22	83	174	261	356	407	421
Neckar-Odenwald-Kreis	County	0	0	8	27	69	134	177	261	296
Ortenaukreis	County	0	3	19	74	200	538	755	871	915
Ostalbkreis	County	0	4	17	131	288	445	604	902	1,015
Pforzheim	County-level City	0	0	4	12	21	58	88	147	190
Rastatt	County	0	0	12	74	221	337	409	457	469
Ravensburg	County	2	4	26	126	303	400	467	496	506
Rems-Murr-Kreis	County	0	6	27	116	366	670	944	1,043	1,085
Reutlingen	County	0	0	9	76	249	600	859	1,212	1,265
Rhein-Neckar-Kreis	County	0	3	25	159	412	665	759	833	849
Rottweil	County	1	1	2	7	84	222	379	508	540
