Sterbezahlen (https://de.wikipedia.org/wiki/COVID-19-Pandemie_in_Deutschland, Stand 27.4.2020)																																			
																																			
	Baden-WÅrttemberg		Bayern		Berlin		Brandenburg		Bremen		Hamburg		Hessen		Mecklenburg-Vorpommern		Niedersachsen		Nordrhein-Westfalen		Reinland-Pfalz		Saarland		Sachsen		Sachsen-Anhalt		Schleswig-Holstein		ThÅringen		Deutschland		
	kumuliert	pro Tag	kumuliert	pro Tag	kumuliert	pro Tag	kumuliert	pro Tag	kumuliert	pro Tag	kumuliert	pro Tag	kumuliert	pro Tag	kumuliert	pro Tag	kumuliert	pro Tag	kumuliert	pro Tag	kumuliert	pro Tag	kumuliert	pro Tag	kumuliert	pro Tag	kumuliert	pro Tag	kumuliert	pro Tag	kumuliert	pro Tag	kumuliert	pro Tag	
02.03.2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
03.03.2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04.03.2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
05.03.2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
06.03.2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07.03.2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
08.03.2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
09.03.2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	
10.03.2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
11.03.2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	
12.03.2020	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	
13.03.2020	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	
14.03.2020	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	8	3	
15.03.2020	3	1	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	
16.03.2020	3	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	
17.03.2020	2	-1	4	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	
18.03.2020	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	
19.03.2020	6	4	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	20	8	
20.03.2020	10	4	12	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	6	0	1	1	0	0	0	0	0	0	1	1	0	0	31	11	
21.03.2020	16	6	19	7	1	1	0	0	0	0	0	0	2	1	0	0	0	0	6	0	1	0	0	0	0	0	0	0	1	0	0	0	46	15	
