Infiziertenzahlen (RKI; nach Erkrankungsdatum; Stand 20.05.2020)
AGS;11.04.2020;25.04.2020
1001;33;33
1002;194;251
1003;135;159
1004;42;62
1051;52;54
1053;198;257
1054;64;77
1055;57;64
1056;468;529
1057;99;115
1058;196;229
1059;110;123
1060;184;213
1061;73;82
1062;236;386
2000;3813;4509
3101;271;299
3102;97;125
3103;249;282
3151;104;122
3153;113;184
3154;94;142
3155;63;106
3157;125;136
3158;109;164
3159;401;718
3241;1436;1830
3251;250;313
3252;94;115
3254;213;279
3255;95;104
3256;59;63
3257;118;142
3351;124;156
3352;75;95
3353;370;482
3354;14;17
3355;139;163
3356;68;79
3357;74;94
3358;55;66
3359;169;186
3360;33;41
3361;107;115
3401;29;41
3402;14;16
3403;142;156
3404;377;436
3405;15;19
3451;129;161
3452;74;84
3453;87;98
3454;298;383
3455;25;31
3456;172;217
3457;67;92
3458;181;207
3459;743;927
3460;271;306
3461;49;51
3462;20;24
4011;451;699
4012;26;39
5111;759;970
5112;560;789
5113;467;720
5114;283;470
5116;365;465
5117;130;165
5119;147;185
5120;161;210
5122;172;223
5124;549;782
5154;415;539
5158;622;810
5162;503;572
5166;463;599
5170;376;492
5314;508;634
5315;2022;2243
5316;158;191
5334;1516;1835
5358;447;543
5362;756;945
5366;272;340
5370;1576;1733
5374;370;444
5378;359;422
5382;892;1138
5512;87;143
5513;232;322
5515;584;628
5554;769;876
5558;446;490
5562;627;1002
5566;921;1183
5570;378;448
5711;296;380
5754;507;590
5758;279;317
5762;216;278
5766;521;695
5770;370;410
5774;467;566
5911;305;425
5913;539;641
5914;165;242
5915;309;428
5916;94;151
5954;320;375
5958;506;564
5962;342;517
5966;353;538
5970;212;274
5974;311;339
5978;388;588
6411;122;191
6412;844;1205
6413;55;82
6414;247;299
6431;262;298
6432;286;344
6433;298;393
6434;211;231
6435;399;590
6436;193;250
6437;182;320
6438;323;432
6439;179;191
6440;203;262
6531;186;214
6532;295;331
6533;216;254
6534;157;179
6535;100;120
6611;147;226
6631;262;296
6632;165;194
6633;197;309
6634;342;449
6635;112;142
6636;77;159
7111;212;246
7131;112;117
7132;104;143
7133;145;186
7134;67;81
7135;122;126
7137;315;339
7138;188;208
7140;138;162
7141;131;150
7143;270;325
7211;83;96
7231;112;128
7232;136;166
7233;95;109
7235;135;174
7311;31;39
7312;89;111
7313;50;55
7314;167;264
7315;357;491
7316;95;101
7317;26;30
7318;48;66
7319;137;173
7320;30;35
7331;133;192
7332;259;307
7333;87;114
7334;117;137
7335;87;97
7336;77;87
7337;133;144
7338;164;202
