Infiziertenzahlen (RKI, nach Erkrankungsdatum, Stand 20.05.2020);;;
AGS;11.04.2020;25.04.2020;Landkreis/kreisfreie Stadt - Name
01001;0;0;Flensburg, Stadt
01002;2;1;Kiel, Landeshauptstadt
01003;2;0;LÅbeck, Hansestadt
01004;1;0;NeumÅnster, Stadt
01051;1;0;Dithmarschen
01053;1;0;Herzogtum Lauenburg
01054;1;0;Nordfriesland
01055;0;0;Ostholstein
01056;4;2;Pinneberg
01057;0;0;Plîn
01058;1;0;Rendsburg-Eckernfîrde
01059;2;2;Schleswig-Flensburg
01060;1;1;Segeberg
01061;0;1;Steinburg
01062;4;3;Stormarn
02000;59;33;Hamburg, Freie und Hansestadt
03101;2;1;Braunschweig, Stadt
03102;1;0;Salzgitter, Stadt
03103;0;0;Wolfsburg, Stadt
03151;0;0;Gifhorn
03153;3;2;Goslar
03154;0;3;Helmstedt
03155;4;0;Northeim
03157;0;0;Peine
03158;1;0;WolfenbÅttel
03159;11;6;Gîttingen
03241;18;23;Region Hannover
03251;5;1;Diepholz
03252;2;1;Hameln-Pyrmont
03254;5;3;Hildesheim
03255;0;0;Holzminden
03256;0;2;Nienburg (Weser)
03257;2;0;Schaumburg
03351;3;2;Celle
03352;0;2;Cuxhaven
03353;9;2;Harburg
03354;0;1;LÅchow-Dannenberg
03355;1;0;LÅneburg
03356;1;2;Osterholz
03357;0;0;Rotenburg (WÅmme)
03358;1;0;Heidekreis
03359;1;0;Stade
03360;1;0;Uelzen
03361;0;0;Verden
03401;0;0;Delmenhorst, Stadt
03402;0;0;Emden, Stadt
03403;0;0;Oldenburg (Oldenburg), Stadt
03404;6;1;OsnabrÅck, Stadt
03405;0;0;Wilhelmshaven, Stadt
03451;7;0;Ammerland
03452;0;0;Aurich
03453;3;2;Cloppenburg
03454;12;0;Emsland
03455;0;0;Friesland
03456;6;3;Grafschaft Bentheim
03457;5;0;Leer
03458;3;1;Oldenburg (Kreis)
03459;6;5;OsnabrÅck
03460;3;1;Vechta
