Infecteddate written out from RKI dashboard;;;
AGS;28.03.2020;11.04.2020;25.04.2020
01001;21;32;32
01002;98;194;252
01003;84;135;159
01004;15;42;62
01051;24;52;54
01053;81;200;258
01054;36;64;77
01055;24;57;64
01056;204;467;528
01057;53;99;115
01058;117;196;229
01059;63;107;120
01060;72;183;213
01061;36;73;82
01062;123;238;386
02000;2236;3984;4753
03101;138;272;300
03102;45;97;126
03103;144;247;280
03151;61;104;122
03153;51;113;184
03154;52;90;131
03155;33;72;116
03157;59;127;138
03158;32;109;163
03159;136;400;717
03241;778;1490;1898
03251;128;251;314
03252;48;3;114
03254;147;225;291
03255;42;89;99
03256;26;59;63
03257;53;123;147
03351;71;125;158
03352;49;75;96
03353;153;357;482
03354;9;14;17
03355;81;139;163
03356;46;68;79
03357;53;80;100
03358;22;55;66
03359;109;169;185
03360;18;33;42
03361;57;108;116
03401;17;29;41
03402;7;14;16
03403;77;142;156
03404;205;377;436
03405;6;15;19
03451;79;130;162
03452;41;76;87
03453;36;96;109
03454;136;298;383
03455;10;25;31
03456;78;172;218
03457;33;67;92
03458;107;181;207
03459;281;743;927
03460;128;271;306
03461;39;49;51
03462;14;20;24
04011;267;451;737
04012;19;26;39
05111;361;757;967
05112;254;559;788
05113;323;468;720
05114;174;283;470
05116;175;365;465
05117;61;130;165
05119;64;146;184
05120;57;162;210
05122;88;172;223
05124;194;548;781
05154;226;415;539
05158;280;624;810
05162;294;503;569
05166;214;462;598
05170;226;381;501
05314;259;504;630
05315;1262;2025;2255
05316;90;158;191
05334;815;1517;1834
05358;230;447;543
05362;230;756;945
05366;116;272;340
05370;1242;1576;1732
05374;189;370;444
05378;175;359;422
05382;490;890;1130
05512;38;87;142
05513;98;238;331
05515;424;582;624
05554;434;769;879
05558;229;446;490
05562;253;631;1004
05566;340;920;1181
05570;288;378;448
05711;155;296;380
05754;308;501;584
05758;143;279;317
05762;64;216;278
05766;278;513;687
05770;197;369;409
05774;150;461;560
05911;182;302;422
05913;253;541;641
05914;72;165;242
05915;148;309;428
05916;47;94;151
05954;159;321;377
05958;232;506;564
05962;100;342;517
05966;104;352;537
05970;101;212;274
05974;176;311;339
05978;169;389;591
06411;61;123;193
06412;329;844;1202
06413;24;55;82
06414;147;247;299
06431;134;262;298
06432;157;285;342
06433;170;298;393
06434;132;211;231
06435;168;383;579
06436;118;193;250
06437;54;182;320
06438;168;323;432
06439;109;179;191
06440;91;203;262
06531;120;185;213
06532;152;295;331
06533;149;216;254
06534;102;155;177
06535;51;100;120
06611;75;140;220
