Infektionsf„lle nach Erkrankungsbeginn (https://experience.arcgis.com/experience/478220a4c454480e823b17327b2bf1d4/page/page_0/, Stand 27.4.2020)																																																		
																																																		
	Baden-Wrttemberg			Bayern			Berlin			Brandenburg			Bremen			Hamburg			Hessen			Mecklenburg-Vorpommern			Niedersachsen			Nordrhein-Westfalen			Reinland-Pfalz			Saarland			Sachsen			Sachsen-Anhalt			Schleswig-Holstein			Thringen				
	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt		
02.03.2020	54	1	55	54	2	56	21	0	21	4	0	4	1	0	1	5	0	5	8	0	8	2	0	2	16	0	16	78	2	80	10	0	10	1	0	1	4	1	5	1	0	1	5	1	6	3	0	3		
03.03.2020	62	8	70	42	2	44	20	0	20	0	0	0	1	0	1	6	2	8	8	2	10	0	1	1	12	0	12	78	10	88	5	1	6	2	0	2	8	0	8	1	0	1	3	0	3	4	0	4		
04.03.2020	78	12	90	50	2	52	31	0	31	7	0	7	1	0	1	13	2	15	10	0	10	5	0	5	25	0	25	93	29	122	5	1	6	2	0	2	5	0	5	2	0	2	5	0	5	8	0	8		
05.03.2020	85	11	96	58	10	68	23	2	25	3	1	4	2	0	2	12	4	16	11	0	11	5	0	5	22	1	23	106	19	125	7	1	8	8	0	8	6	0	6	2	0	2	6	0	6	2	0	2		
06.03.2020	116	26	142	91	17	108	42	2	44	15	0	15	2	0	2	27	2	29	27	0	27	5	0	5	33	4	37	150	11	161	12	0	12	3	0	3	12	0	12	4	0	4	14	0	14	7	0	7		
07.03.2020	137	5	142	108	6	114	38	0	38	10	0	10	9	0	9	37	0	37	47	0	47	3	0	3	43	3	46	227	11	238	25	0	25	4	0	4	6	0	6	10	0	10	18	0	18	9	0	9		
08.03.2020	191	5	196	123	2	125	44	1	45	13	0	13	12	0	12	32	0	32	87	0	87	8	1	9	69	1	70	283	5	288	37	3	40	17	1	18	22	4	26	6	0	6	18	1	19	8	0	8		
09.03.2020	356	12	368	232	47	279	87	2	89	31	0	31	9	0	9	51	1	52	106	5	111	10	0	10	85	11	96	367	17	384	46	4	50	9	2	11	32	0	32	17	0	17	25	0	25	10	0	10		
10.03.2020	451	32	483	299	54	353	127	3	130	24	1	25	14	1	15	65	5	70	145	1	146	9	0	9	97	3	100	465	32	497	60	11	71	24	0	24	29	4	33	22	0	22	30	2	32	23	1	24		
11.03.2020	558	42	600	334	65	399	136	5	141	35	4	39	18	3	21	79	8	87	155	5	160	16	1	17	158	15	173	607	41	648	90	10	100	24	1	25	53	4	57	13	1	14	41	3	44	26	0	26		
12.03.2020	601	34	635	414	54	468	148	3	151	48	9	57	24	0	24	97	12	109	178	15	193	10	1	11	167	27	194	583	65	648	95	29	124	39	12	51	59	9	68	15	2	17	56	4	60	29	1	30		
13.03.2020	689	73	762	544	146	690	183	8	191	62	6	68	15	3	18	120	4	124	208	16	224	23	3	26	248	23	271	702	97	799	110	26	136	36	0	36	71	6	77	33	3	36	72	2	74	43	3	46		
14.03.2020	652	90	742	586	120	706	176	4	180	60	5	65	16	1	17	133	16	149	211	14	225	10	0	10	241	22	263	744	124	868	120	24	144	35	7	42	81	10	91	27	0	27	69	2	71	37	1	38		
15.03.2020	684	40	724	660	86	746	184	7	191	56	3	59	25	0	25	148	24	172	200	4	204	17	0	17	218	13	231	740	98	838	122	57	179	28	4	32	73	9	82	29	0	29	68	4	72	41	0	41		
16.03.2020	864	97	961	1007	128	1135	228	10	238	75	7	82	23	0	23	152	17	169	273	18	291	20	4	24	272	38	310	941	211	1152	173	74	247	58	9	67	98	10	108	61	9	70	90	4	94	89	2	91		
17.03.2020	769	198	967	818	252	1070	191	18	209	47	15	62	16	0	16	126	44	170	236	38	274	23	8	31	229	48	277	712	287	999	187	82	269	43	12	55	94	33	127	44	4	48	80	5	85	52	10	62		
18.03.2020	803	211	1014	860	355	1215	194	13	207	69	10	79	15	1	16	103	36	139	205	42	247	23	17	40	245	86	331	807	235	1042	152	74	226	47	16	63	100	48	148	41	3	44	72	9	81	65	4	69		
19.03.2020	680	186	866	780	339	1119	168	10	178	56	8	64	20	1	21	77	46	123	183	43	226	8	5	13	209	66	275	668	343	1011	122	57	179	54	19	73	84	60	144	45	7	52	70	10	80	46	6	52		
20.03.2020	805	260	1065	950	464	1414	177	12	189	65	7	72	15	1	16	93	32	125	191	37	228	23	3	26	209	63	272	753	244	997	165	65	230	54	12	66	100	53	153	51	9	60	94	10	104	69	5	74		
21.03.2020	636	147	783	820	493	1313	146	1	147	51	3	54	0	1	1	72	30	102	164	13	177	15	1	16	174	40	214	640	171	811	105	41	146	42	14	56	102	47	149	37	5	42	55	10	65	52	1	53		
22.03.2020	544	106	650	651	267	918	119	4	123	54	2	56	7	0	7	58	22	80	110	11	121	9	0	9	150	19	169	539	93	632	83	70	153	33	25	58	88	23	111	27	5	32	50	3	53	29	3	32		
23.03.2020	710	158	868	952	310	1262	177	10	187	74	7	81	15	0	15	86	43	129	191	36	227	22	4	26	264	65	329	698	235	933	142	62	204	49	22	71	107	48	155	36	9	45	90	14	104	73	4	77		
24.03.2020	512	299	811	695	498	1193	122	16	138	56	7	63	10	1	11	51	75	126	144	27	171	17	7	24	177	60	237	574	158	732	102	80	182	24	10	34	75	53	128	41	19	60	65	12	77	48	5	53		
25.03.2020	548	298	846	780	671	1451	125	16	141	44	10	54	9	1	10	62	54	116	153	38	191	16	3	19	222	96	318	646	235	881	97	44	141	35	18	53	76	64	140	29	5	34	73	11	84	43	6	49		
26.03.2020	507	331	838	620	647	1267	113	36	149	50	11	61	11	6	17	57	52	109	148	43	191	14	7	21	170	78	248	588	205	793	90	94	184	26	37	63	65	53	118	41	1	42	68	11	79	54	2	56		
27.03.2020	551	337	888	662	768	1430	104	34	138	60	4	64	8	3	11	58	59	117	160	57	217	13	20	33	171	149	320	584	236	820	71	96	167	38	16	54	71	73	144	32	12	44	45	12	57	55	6	61		
28.03.2020	508	267	775	595	637	1232	110	9	119	59	5	64	10	3	13	49	65	114	137	39	176	9	7	16	159	89	248	564	160	724	95	55	150	41	23	64	74	75	149	48	9	57	56	14	70	41	1	42		
29.03.2020	460	206	666	488	400	888	86	8	94	45	6	51	3	1	4	40	30	70	121	28	149	13	1	14	139	58	197	425	109	534	69	53	122	14	22	36	64	23	87	21	1	22	37	10	47	26	0	26		
