Infektionsf„lle nach Erkrankungsbeginn (https://experience.arcgis.com/experience/478220a4c454480e823b17327b2bf1d4/page/page_0/, Stand 08.06.2020)																																																		
																																																		
	Baden-Wrttemberg			Bayern			Berlin			Brandenburg			Bremen			Hamburg			Hessen			Mecklenburg-Vorpommern			Niedersachsen			Nordrhein-Westfalen			Reinland-Pfalz			Saarland			Sachsen			Sachsen-Anhalt			Schleswig-Holstein			Thringen				
	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt	nach Erkrankungsdatum	ersatzweise Meldedatum	Gesamt		
02.03.2020	56	1	57	59	2	61	21	0	21	4	0	4	1	0	1	4	0	4	9	0	9	2	0	2	16	0	16	84	2	86	10	0	10	1	0	1	4	1	5	1	0	1	5	1	6	3	0	3		
03.03.2020	70	5	75	46	3	49	20	0	20	0	0	0	1	0	1	6	3	9	8	2	10	0	1	1	12	0	12	84	9	93	5	1	6	2	0	2	8	0	8	1	0	1	3	0	3	4	0	4		
04.03.2020	88	7	95	56	2	58	31	0	31	8	0	8	1	0	1	14	2	16	10	0	10	5	0	5	26	0	26	104	25	129	5	1	6	2	0	2	6	0	6	2	0	2	5	0	5	8	0	8		
05.03.2020	106	9	115	64	8	72	23	2	25	4	0	4	2	0	2	15	1	16	11	0	11	5	0	5	25	1	26	116	10	126	7	1	8	8	0	8	8	0	8	2	0	2	6	0	6	2	0	2		
06.03.2020	141	20	161	115	15	130	42	1	43	15	0	15	2	0	2	31	2	33	27	0	27	5	0	5	33	3	36	157	8	165	12	0	12	3	0	3	14	0	14	4	0	4	13	0	13	7	0	7		
07.03.2020	154	2	156	129	6	135	38	0	38	10	0	10	9	0	9	37	0	37	48	0	48	3	0	3	45	3	48	232	7	239	25	0	25	3	0	3	10	0	10	10	0	10	18	0	18	8	0	8		
08.03.2020	238	4	242	151	2	153	45	1	46	13	0	13	12	0	12	32	0	32	88	0	88	8	1	9	71	0	71	295	2	297	37	3	40	17	1	18	24	4	28	6	0	6	18	1	19	8	0	8		
09.03.2020	408	7	415	269	42	311	87	2	89	30	0	30	9	0	9	53	1	54	114	3	117	10	0	10	100	1	101	400	16	416	47	4	51	9	2	11	36	0	36	17	0	17	25	0	25	10	0	10		
10.03.2020	517	22	539	349	53	402	132	3	135	24	1	25	15	0	15	70	4	74	147	1	148	9	0	9	105	2	107	515	27	542	63	9	72	24	0	24	36	3	39	22	0	22	31	2	33	24	0	24		
11.03.2020	666	15	681	401	54	455	135	3	138	37	2	39	19	2	21	80	8	88	157	3	160	17	0	17	169	16	185	665	37	702	90	7	97	24	1	25	65	2	67	13	1	14	42	2	44	26	0	26		
12.03.2020	689	21	710	186	54	240	157	3	160	52	6	58	24	0	24	110	8	118	189	12	201	10	1	11	177	25	202	668	48	716	101	28	129	39	10	49	68	7	75	16	2	18	58	2	60	29	1	30		
13.03.2020	809	37	846	651	128	779	181	5	186	62	6	68	16	2	18	126	5	131	214	13	227	24	2	26	265	13	278	777	75	852	119	25	144	36	1	37	86	5	91	34	3	37	74	2	76	45	1	46		
