Infektionsf„lle nach Meldung (https://experience.arcgis.com/experience/478220a4c454480e823b17327b2bf1d4/page/page_0/, Stand 08.06.2020)																																																		
																																																		
	Baden-Wrttemberg			Bayern			Berlin			Brandenburg			Bremen			Hamburg			Hessen			Mecklenburg-Vorpommern			Niedersachsen			Nordrhein-Westfalen			Reinland-Pfalz			Saarland			Sachsen			Sachsen-Anhalt			Schleswig-Holstein			Thringen				
	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt	Stand gestern	neu berichtet	gesamt		
02.03.2020	10	0	10	6	0	6	0	0	0	0	0	0	1	0	1	0	0	0	4	0	4	0	0	0	2	0	2	15	0	15	0	0	0	0	0	0	1	0	1	0	0	0	2	0	2	0	0	0		
03.03.2020	23	0	23	6	0	6	6	0	6	0	0	0	2	0	2	3	0	3	4	0	4	2	0	2	6	0	6	30	0	30	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1		
04.03.2020	37	0	37	10	0	10	3	0	3	0	0	0	0	0	0	3	0	3	2	0	2	2	0	2	4	0	4	90	0	90	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
05.03.2020	36	0	36	23	0	23	11	0	11	1	0	1	0	0	0	5	0	5	6	0	6	1	0	1	6	0	6	96	0	96	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0		
06.03.2020	51	0	51	51	0	51	5	0	5	0	0	0	0	0	0	3	0	3	1	0	1	0	0	0	7	0	7	63	0	63	2	0	2	0	0	0	2	0	2	0	0	0	2	0	2	0	0	0		
07.03.2020	31	0	31	19	0	19	1	0	1	0	0	0	0	0	0	4	0	4	4	0	4	0	0	0	8	0	8	67	0	67	2	0	2	0	0	0	2	0	2	0	0	0	0	0	0	1	0	1		
08.03.2020	19	0	19	21	0	21	11	0	11	4	0	4	0	0	0	5	0	5	0	0	0	2	0	2	4	0	4	26	0	26	3	0	3	1	0	1	5	0	5	0	0	0	1	0	1	0	0	0		
09.03.2020	53	0	53	85	0	85	22	0	22	4	0	4	7	0	7	20	0	20	20	0	20	4	0	4	14	0	14	97	0	97	6	0	6	5	0	5	5	0	5	0	0	0	3	0	3	0	0	0		
10.03.2020	118	0	118	107	0	107	34	0	34	9	0	9	11	0	11	28	0	28	16	0	16	1	0	1	35	0	35	173	0	173	17	0	17	2	0	2	21	0	21	6	0	6	7	0	7	9	0	9		
