Res: 0.012420 beta: 0.464850 | gamma1: 0.190689 | gamma2: 0.088238 | mortality: 0.007598 | darkFigure: 5.512071 | startDate: 737836.903238 | majorEvents: 0.765469 | schoolClosing: 0.715866 | contactRestrictions: 0.780027 | 
Res: 0.013951 beta: 0.472991 | gamma1: 0.198279 | gamma2: 0.074997 | mortality: 0.006099 | darkFigure: 7.124429 | startDate: 737836.435983 | majorEvents: 0.757972 | schoolClosing: 0.659595 | contactRestrictions: 0.848033 | 
Res: 138.786202 beta: 0.318013 | gamma1: 0.301991 | gamma2: 0.500000 | mortality: 0.009113 | darkFigure: 7.549182 | startDate: 737851.000000 | majorEvents: 0.626874 | schoolClosing: 0.527609 | contactRestrictions: 1.000000 | 
Res: 0.013430 beta: 0.415308 | gamma1: 0.148865 | gamma2: 0.488272 | mortality: 0.007169 | darkFigure: 5.000422 | startDate: 737836.001222 | majorEvents: 0.758915 | schoolClosing: 0.691202 | contactRestrictions: 0.686576 | 
Res: 0.014060 beta: 0.460688 | gamma1: 0.187826 | gamma2: 0.079359 | mortality: 0.007725 | darkFigure: 5.545233 | startDate: 737836.391362 | majorEvents: 0.744045 | schoolClosing: 0.761234 | contactRestrictions: 0.742649 | 
Res: 0.015246 beta: 0.452762 | gamma1: 0.178526 | gamma2: 0.140603 | mortality: 0.007132 | darkFigure: 5.399943 | startDate: 737836.368433 | majorEvents: 0.723847 | schoolClosing: 0.765696 | contactRestrictions: 0.736718 | 
Res: 0.012991 beta: 0.449649 | gamma1: 0.185690 | gamma2: 0.091107 | mortality: 0.008187 | darkFigure: 5.068349 | startDate: 737836.102132 | majorEvents: 0.818277 | schoolClosing: 0.707491 | contactRestrictions: 0.746535 | 
Res: 1.184669 beta: 0.483882 | gamma1: 0.106328 | gamma2: 0.061820 | mortality: 0.009916 | darkFigure: 5.000000 | startDate: 737844.029988 | majorEvents: 0.742522 | schoolClosing: 0.477866 | contactRestrictions: 0.106544 | 
Res: 0.012422 beta: 0.464671 | gamma1: 0.201684 | gamma2: 0.089968 | mortality: 0.007519 | darkFigure: 5.536802 | startDate: 737836.154512 | majorEvents: 0.839773 | schoolClosing: 0.688971 | contactRestrictions: 0.780877 | 
Res: 0.014401 beta: 0.466607 | gamma1: 0.192862 | gamma2: 0.074465 | mortality: 0.007660 | darkFigure: 5.688421 | startDate: 737836.409361 | majorEvents: 0.740226 | schoolClosing: 0.771140 | contactRestrictions: 0.747081 | 
Res: 0.011145 beta: 0.500000 | gamma1: 0.087684 | gamma2: 0.467067 | mortality: 0.007167 | darkFigure: 5.000000 | startDate: 737843.401480 | majorEvents: 0.437262 | schoolClosing: 0.636837 | contactRestrictions: 0.540531 | 
Res: 101.231453 beta: 0.456789 | gamma1: 0.158208 | gamma2: 0.008957 | mortality: 0.010000 | darkFigure: 10.000000 | startDate: 737845.052869 | majorEvents: 0.830017 | schoolClosing: 0.600538 | contactRestrictions: 0.528699 | 
Res: 0.011043 beta: 0.500000 | gamma1: 0.227146 | gamma2: 0.041326 | mortality: 0.006585 | darkFigure: 8.262610 | startDate: 737836.818640 | majorEvents: 0.809405 | schoolClosing: 0.664396 | contactRestrictions: 0.838573 | 
Res: 0.013149 beta: 0.500000 | gamma1: 0.217218 | gamma2: 0.056433 | mortality: 0.007088 | darkFigure: 6.734217 | startDate: 737837.244115 | majorEvents: 0.714305 | schoolClosing: 0.797458 | contactRestrictions: 0.774579 | 
Res: 137.593468 beta: 0.441890 | gamma1: 0.225600 | gamma2: 0.500000 | mortality: 0.006156 | darkFigure: 7.300906 | startDate: 737851.000000 | majorEvents: 0.642704 | schoolClosing: 0.467239 | contactRestrictions: 1.000000 | 
Res: 4.665833 beta: 0.462988 | gamma1: 0.181149 | gamma2: 0.319658 | mortality: 0.008290 | darkFigure: 5.000000 | startDate: 737838.146784 | majorEvents: 0.563600 | schoolClosing: 0.995983 | contactRestrictions: 0.989723 | 
Res: 0.150510 beta: 0.500000 | gamma1: 0.230396 | gamma2: 0.014531 | mortality: 0.010000 | darkFigure: 10.000000 | startDate: 737836.000000 | majorEvents: 0.787847 | schoolClosing: 0.674206 | contactRestrictions: 0.828070 | 
Res: 138.476199 beta: 0.404314 | gamma1: 0.275808 | gamma2: 0.500000 | mortality: 0.009336 | darkFigure: 7.854801 | startDate: 737851.000000 | majorEvents: 0.455033 | schoolClosing: 0.494603 | contactRestrictions: 1.000000 | 
Res: 0.795886 beta: 0.500000 | gamma1: 0.178132 | gamma2: 0.203175 | mortality: 0.007444 | darkFigure: 5.125513 | startDate: 737842.021563 | majorEvents: 0.763255 | schoolClosing: 0.653089 | contactRestrictions: 0.865603 | 
Res: 0.637120 beta: 0.498648 | gamma1: 0.248887 | gamma2: 0.057434 | mortality: 0.007461 | darkFigure: 6.370931 | startDate: 737836.000000 | majorEvents: 0.837738 | schoolClosing: 0.865230 | contactRestrictions: 0.814931 | 
Res: 1.941381 beta: 0.500000 | gamma1: 0.196857 | gamma2: 0.168394 | mortality: 0.007503 | darkFigure: 5.287792 | startDate: 737842.015117 | majorEvents: 0.735484 | schoolClosing: 0.969324 | contactRestrictions: 0.694264 | 
Res: 138.758752 beta: 0.394787 | gamma1: 0.303820 | gamma2: 0.500000 | mortality: 0.005663 | darkFigure: 6.683262 | startDate: 737851.000000 | majorEvents: 0.515302 | schoolClosing: 1.000000 | contactRestrictions: 1.000000 | 
Res: 127.183457 beta: 0.500000 | gamma1: 0.192849 | gamma2: 0.006950 | mortality: 0.010000 | darkFigure: 5.000000 | startDate: 737848.561758 | majorEvents: 0.723090 | schoolClosing: 0.806086 | contactRestrictions: 0.684802 | 
Res: 0.067352 beta: 0.499911 | gamma1: 0.170532 | gamma2: 0.049064 | mortality: 0.009970 | darkFigure: 5.056763 | startDate: 737841.267608 | majorEvents: 0.721150 | schoolClosing: 0.618455 | contactRestrictions: 0.807335 | 
Res: 0.014763 beta: 0.427606 | gamma1: 0.155052 | gamma2: 0.094352 | mortality: 0.008230 | darkFigure: 5.000000 | startDate: 737836.291754 | majorEvents: 0.719698 | schoolClosing: 0.716960 | contactRestrictions: 0.724724 | 
Res: 0.021503 beta: 0.500000 | gamma1: 0.190749 | gamma2: 0.045408 | mortality: 0.009428 | darkFigure: 5.488093 | startDate: 737840.268557 | majorEvents: 0.736342 | schoolClosing: 0.821312 | contactRestrictions: 0.641020 | 
Res: 1.210602 beta: 0.468611 | gamma1: 0.113199 | gamma2: 0.050156 | mortality: 0.009990 | darkFigure: 5.000000 | startDate: 737841.960360 | majorEvents: 0.786774 | schoolClosing: 0.100000 | contactRestrictions: 1.000000 | 
Res: 0.012080 beta: 0.415314 | gamma1: 0.148226 | gamma2: 0.093530 | mortality: 0.008252 | darkFigure: 5.000000 | startDate: 737836.251722 | majorEvents: 0.768828 | schoolClosing: 0.645148 | contactRestrictions: 0.720579 | 
Res: 0.012361 beta: 0.434419 | gamma1: 0.178559 | gamma2: 0.120239 | mortality: 0.007122 | darkFigure: 5.541375 | startDate: 737836.000000 | majorEvents: 0.887337 | schoolClosing: 0.592762 | contactRestrictions: 0.797229 | 
